mutant_id,project,version,class_name,method_name,line_number,mutation_operator,original_code,mutated_code,surrounding_context,usefulness_score,short_reason,api_status,checkpoint_status,timestamp,model,prompt_tokens,completion_tokens,total_tokens,estimated_cost_usd,latency_seconds,rank,selection_strategy,selected_by
MUT_0140,commons-lang3,3.20.0,org.apache.commons.lang3.math.NumberUtils,getMantissa,,EmptyObjectReturnValsMutator,"return hasSign ? str.substring(1, stopPos) : str.substring(0, stopPos);","// PIT Mutated: replaced return value with """" for org/apache/commons/lang3/math/NumberUtils::getMantissa
return hasSign ? str.substring(1, stopPos) : str.substring(0, stopPos);","        if (length <= (hasSign ? 1 : 0) || length < stopPos) {
            throw new NumberFormatException(str + "" is not a valid number."");
        }
        return hasSign ? str.substring(1, stopPos) : str.substring(0, stopPos);
    }

    /**
",5,"Significant change in return value, likely to affect output.",success,done,2026-06-27T22:19:50,gpt-4o-mini,2495,415,2910,0.0,7.174,1,gpt4o_mini_top_percent,gpt4o_mini
MUT_0263,commons-lang3,3.20.0,org.apache.commons.lang3.math.NumberUtils,max,,PrimitiveReturnsMutator,return a;,"// PIT Mutated: replaced int return with 0 for org/apache/commons/lang3/math/NumberUtils::max
return a;","        if (c > a) {
            a = c;
        }
        return a;
    }

    /**
",5,"Replaces return value, likely to reveal test weaknesses.",success,done,2026-06-27T22:21:40,gpt-4o-mini,1890,412,2302,0.0,8.437,2,gpt4o_mini_top_percent,gpt4o_mini
MUT_0268,commons-lang3,3.20.0,org.apache.commons.lang3.math.NumberUtils,max,,PrimitiveReturnsMutator,return a;,"// PIT Mutated: replaced long return with 0 for org/apache/commons/lang3/math/NumberUtils::max
return a;","        if (c > a) {
            a = c;
        }
        return a;
    }

    /**
",5,"Replaces return value, likely to reveal test weaknesses.",success,done,2026-06-27T22:21:40,gpt-4o-mini,1890,412,2302,0.0,8.437,3,gpt4o_mini_top_percent,gpt4o_mini
MUT_0278,commons-lang3,3.20.0,org.apache.commons.lang3.math.NumberUtils,validateArray,,VoidMethodCallMutator,validateArray(array);,"// PIT Mutated: removed call to org/apache/commons/lang3/math/NumberUtils::validateArray
validateArray(array);","     */
    public static byte max(final byte... array) {
        // Validates input
        validateArray(array);
        // Finds and returns max
        byte max = array[0];
        for (int i = 1; i < array.length; i++) {
",5,Removing validation could lead to significant failures.,success,done,2026-06-27T22:21:48,gpt-4o-mini,2027,425,2452,0.0,14.241,4,gpt4o_mini_top_percent,gpt4o_mini
MUT_0285,commons-lang3,3.20.0,org.apache.commons.lang3.math.NumberUtils,validateArray,,VoidMethodCallMutator,validateArray(array);,"// PIT Mutated: removed call to org/apache/commons/lang3/math/NumberUtils::validateArray
validateArray(array);","     */
    public static double max(final double... array) {
        // Validates input
        validateArray(array);
        // Finds and returns max
        double max = array[0];
        for (int j = 1; j < array.length; j++) {
",5,"Removes validation, likely to expose test weaknesses.",success,done,2026-06-27T22:22:02,gpt-4o-mini,2073,409,2482,0.0,8.91,5,gpt4o_mini_top_percent,gpt4o_mini
MUT_0293,commons-lang3,3.20.0,org.apache.commons.lang3.math.NumberUtils,validateArray,,VoidMethodCallMutator,validateArray(array);,"// PIT Mutated: removed call to org/apache/commons/lang3/math/NumberUtils::validateArray
validateArray(array);","     */
    public static float max(final float... array) {
        // Validates input
        validateArray(array);
        // Finds and returns max
        float max = array[0];
        for (int j = 1; j < array.length; j++) {
",5,"Removes validation, likely to expose flaws in input handling.",success,done,2026-06-27T22:22:11,gpt-4o-mini,2111,430,2541,0.0,9.917,6,gpt4o_mini_top_percent,gpt4o_mini
MUT_0300,commons-lang3,3.20.0,org.apache.commons.lang3.math.NumberUtils,validateArray,,VoidMethodCallMutator,validateArray(array);,"// PIT Mutated: removed call to org/apache/commons/lang3/math/NumberUtils::validateArray
validateArray(array);","     */
    public static int max(final int... array) {
        // Validates input
        validateArray(array);
        // Finds and returns max
        int max = array[0];
        for (int j = 1; j < array.length; j++) {
",5,"Removes validation, likely to expose flaws in input handling.",success,done,2026-06-27T22:22:11,gpt-4o-mini,2111,430,2541,0.0,9.917,7,gpt4o_mini_top_percent,gpt4o_mini
MUT_0306,commons-lang3,3.20.0,org.apache.commons.lang3.math.NumberUtils,validateArray,,VoidMethodCallMutator,validateArray(array);,"// PIT Mutated: removed call to org/apache/commons/lang3/math/NumberUtils::validateArray
validateArray(array);","     */
    public static long max(final long... array) {
        // Validates input
        validateArray(array);
        // Finds and returns max
        long max = array[0];
        for (int j = 1; j < array.length; j++) {
",5,Removing validation can lead to significant errors.,success,done,2026-06-27T22:22:21,gpt-4o-mini,2069,406,2475,0.0,7.404,8,gpt4o_mini_top_percent,gpt4o_mini
MUT_0312,commons-lang3,3.20.0,org.apache.commons.lang3.math.NumberUtils,validateArray,,VoidMethodCallMutator,validateArray(array);,"// PIT Mutated: removed call to org/apache/commons/lang3/math/NumberUtils::validateArray
validateArray(array);","     */
    public static short max(final short... array) {
        // Validates input
        validateArray(array);
        // Finds and returns max
        short max = array[0];
        for (int i = 1; i < array.length; i++) {
",5,Removing validation can expose flaws in input handling.,success,done,2026-06-27T22:22:29,gpt-4o-mini,2022,437,2459,0.0,11.614,9,gpt4o_mini_top_percent,gpt4o_mini
MUT_0340,commons-lang3,3.20.0,org.apache.commons.lang3.math.NumberUtils,validateArray,,VoidMethodCallMutator,validateArray(array);,"// PIT Mutated: removed call to org/apache/commons/lang3/math/NumberUtils::validateArray
validateArray(array);","     */
    public static byte min(final byte... array) {
        // Validates input
        validateArray(array);
        // Finds and returns min
        byte min = array[0];
        for (int i = 1; i < array.length; i++) {
",5,"Removes validation, likely to expose flaws in input handling.",success,done,2026-06-27T22:22:49,gpt-4o-mini,2013,428,2441,0.0,8.318,10,gpt4o_mini_top_percent,gpt4o_mini
